F1 cross,Female no.,No. of embryos,A,AB,B,WT,All A,A %,All B,B %,B+WT,Total,Notes
,5,0,-,-,-,-,-,-,-,-,-,-,
,6,20,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,7,0,-,-,-,-,-,-,-,-,-,-,Dead female
,8,45,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,9,0,-,-,-,-,-,-,-,-,-,-,Dead female
,10,39,19,17,0,0,36,100,17,47.22222222,0,36,
,11,0,-,-,-,-,-,-,-,-,-,-,Dead female
,12,4,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,13,112,12,8,0,0,20,100,8,40,0,20,
,14,73,38,30,0,0,68,100,30,44.11764706,0,68,
,15,0,-,-,-,-,-,-,-,-,-,-,Dead female
,16,0,-,-,-,-,-,-,-,-,-,-,
,17,68,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,18,0,-,-,-,-,-,-,-,-,-,-,
,19,0,-,-,-,-,-,-,-,-,-,-,
,20,0,-,-,-,-,-,-,-,-,-,-,Dead female
,21,0,-,-,-,-,-,-,-,-,-,-,Dead female
,22,17,-,-,-,-,-,-,-,-,-,-,Dead female
,23,0,-,-,-,-,-,-,-,-,-,-,Dead female
,24,82,15,6,0,0,21,100,6,28.57142857,0,21,
,25,0,-,-,-,-,-,-,-,-,-,-,
,26,72,37,23,1,0,60,98.36065574,24,39.3442623,1,61,
,27,0,-,-,-,-,-,-,-,-,-,-,
,28,0,-,-,-,-,-,-,-,-,-,-,Dead female
,29,0,-,-,-,-,-,-,-,-,-,-,DNBF
,30,0,-,-,-,-,-,-,-,-,-,-,
,31,0,-,-,-,-,-,-,-,-,-,-,DNBF
,32,0,-,-,-,-,-,-,-,-,-,-,DNBF
,33,0,-,-,-,-,-,-,-,-,-,-,Dead female
,34,0,-,-,-,-,-,-,-,-,-,-,
,35,85,38,36,0,0,74,100,36,48.64864865,0,74,
,36,72,10,12,0,0,22,100,12,54.54545455,0,22,
,37,110,-,-,-,-,-,-,-,-,-,-,Eggs didn't hatch
,38,0,-,-,-,-,-,-,-,-,-,-,
,39,0,-,-,-,-,-,-,-,-,-,-,DNBF
,40,0,-,-,-,-,-,-,-,-,-,-,DNBF
,41,0,-,-,-,-,-,-,-,-,-,-,DNBF
,42,0,-,-,-,-,-,-,-,-,-,-,DNBF
,43,0,-,-,-,-,-,-,-,-,-,-,DNBF
,44,0,-,-,-,-,-,-,-,-,-,-,DNBF
,45,0,-,-,-,-,-,-,-,-,-,-,Dead female
